AB004724|S000381737	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Microbacterium
AB004729|S000427351	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Gordoniaceae;Gordonia
AB004730|S000627158	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Corynebacteriaceae;Corynebacterium
AB004744|S000381739	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter
AB004745|S000381740	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia
AB004746|S000381741	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter
AB004748|S000381743	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter
AB004749|S000381744	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacter
AB004750|S000381745	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Klebsiella
AB004751|S000381746	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia
AB004752|S000381747	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Serratia
AB004876|S000381765	Root;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Halococcus
AB004913|S000009012	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Incertae sedis 9;Symbiobacterium
AB005296|S000469144	Root;Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermocladium
AB005656|S000381769	Root;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natronorubrum
AB005893|S000381770	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
AB006164|S000381778	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Frankineae;Sporichthyaceae;Sporichthya
AB006167|S000007128	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micromonosporineae;Micromonosporaceae;Virgisporangium
AB006169|S000007486	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micromonosporineae;Micromonosporaceae;Virgisporangium
AB006176|S000000546	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Pseudonocardineae;Actinosynnemataceae;Lentzea
AB006178|S000014502	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Pseudonocardineae;Pseudonocardiaceae;Actinoalloteichus
AB006711|S000381785	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium
AB006764|S000427367	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Oceanospirillum
AB006765|S000427368	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Incertae sedis 7;Marinobacterium
AB006766|S000427369	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Pseudospirillum
AB006767|S000427370	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Oceanobacter
AB006768|S000427371	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae;Terasakiella
AB006769|S000427372	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinospirillum
AB006770|S000427373	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Marinospirillum
AB006771|S000427374	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Oceanospirillaceae;Oceanospirillum
AB006851|S000381787	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Incertae sedis 5;Mitsuaria
AB006899|S000381788	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus
AB008313|S000427388	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
AB008314|S000381841	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
AB008315|S000381842	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
AB008507|S000457636	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas
AB008509|S000381870	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas
AB008513|S000381874	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas
AB008552|S000381879	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium
AB008745|S000529500	Root;Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum
AB008797|S000541789	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Moritellaceae;Moritella
AB008801|S000381885	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Caldimonas
AB008853|S000381891	Root;Archaea;Euryarchaeota;Methanomicrobia;Methanomicrobiales;Incertae sedis 1;Methanocalculus
AB009457|S000006483	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
AB009618|S000469148	Root;Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermoproteus
AB009828|S000016767	Root;Bacteria;Proteobacteria;Betaproteobacteria;Hydrogenophilales;Hydrogenophilaceae;Hydrogenophilus
AB009933|S000381980	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
AB009934|S000381981	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
AB009935|S000381982	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
AB009937|S000381984	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
AB009938|S000381985	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
AB009939|S000381986	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
AB009940|S000381987	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
AB009941|S000381988	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
AB009942|S000381989	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
AB009943|S000381990	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
AB009944|S000381991	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
AB009945|S000381992	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
AB009946|S000381993	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
AB010425|S000381995	Root;Bacteria;Firmicutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Phytoplasma
AB010840|S000427400	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
AB010841|S000427401	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
AB010863|S000541807	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Oceanobacillus
AB010893|S000541815	Root;Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus
AB010909|S000382039	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Williamsiaceae;Williamsia
AB010957|S000382044	Root;Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus
AB010964|S000382045	Root;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Haloarcula
AB011057|S000529502	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium
AB011495|S000021602	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;Thermaerobacter
AB011816|S000382127	Root;Bacteria;Actinobacteria;Actinobacteria;Coriobacteridae;Coriobacteriales;Coriobacterineae;Coriobacteriaceae;Collinsella
AB012590|S000414934	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Zimmermannella
AB012591|S000414935	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Zimmermannella
AB012594|S000414937	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Leucobacter
AB012595|S000414938	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Zimmermannella
AB012607|S000382143	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Propionibacterineae;Nocardioidaceae;Micropruina
AB012646|S000007910	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Mycetocola
AB012647|S000001041	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Mycetocola
AB012648|S000012103	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Mycetocola
AB013269|S000541953	Root;Bacteria;Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp23
AB013297|S000382167	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio
AB013354|S000004181	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Erythrobacter
AB013355|S000021430	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Erythromicrobium
AB013495|S000482890	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micromonosporineae;Micromonosporaceae;Actinoplanes
AB013926|S000469187	Root;Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Caldivirga
AB015542|S000541975	Root;Bacteria;SR1;SR1_genera_incertae_sedis
AB015577|S000542006	Root;Bacteria;OD1;OD1_genera_incertae_sedis
AB016057|S000382360	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter
AB016438|S000008019	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Intrasporangiaceae;Janibacter
AB016470|S000382370	Root;Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Nannocystineae;Haliangiaceae;Haliangium
AB016610|S000382373	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Asticcacaulis
AB016982|S000382385	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Photobacterium
AB016985|S000427553	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Leifsonia
AB017203|S000382389	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Prosthecomicrobium
AB018046|S000382411	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Streptosporangiaceae;Microbispora
AB018092|S000006100	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces
AB018095|S000022304	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces
AB018183|S000009130	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium
AB018184|S000001853	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium
AB018185|S000005758	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium
AB018439|S000439484	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
AB018787|S000018932	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Streptosporangiaceae;Nonomuraea
AB019148|S000382445	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Incertae sedis 7;Marinobacter
AB019239|S000053841	Root;Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Palaeococcus
AB019260|S000012597	Root;Bacteria;Actinobacteria;Actinobacteria;Coriobacteridae;Coriobacteriales;Coriobacterineae;Coriobacteriaceae;Cryptobacterium
AB019390|S000382455	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Oceanimonas
AB019582|S000427555	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter
AB020029|S000382508	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Pseudonocardineae;Actinosynnemataceae;Lentzea
AB020030|S000382509	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Pseudonocardineae;Actinosynnemataceae;Lechevalieria
AB020031|S000382510	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Pseudonocardineae;Actinosynnemataceae;Saccharothrix
AB020336|S000000935	Root;Bacteria;Firmicutes;Clostridia;Thermoanaerobacteriales;Thermoanaerobacteriaceae;Thermacetogenium
AB021164|S000008023	Root;Bacteria;Bacteroidetes;Bacteroidetes;Bacteroidales;Bacteroidaceae;Bacteroides
AB021181|S000014133	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
AB021182|S000007628	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
AB021183|S000011821	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus
AB021185|S000012966	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
AB021188|S000006846	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
AB021191|S000006847	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
AB021193|S000005760	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
AB021194|S000014510	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
AB021198|S000012241	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
AB021199|S000016288	Root;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus
AB021305|S000382531	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Syntrophomonadaceae;Syntrophothermus
AB021366|S000006848	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum
AB021367|S000002971	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Incertae sedis 7;Marinobacterium
AB021370|S000001467	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
AB021380|S000001098	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
AB021381|S000014513	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
AB021382|S000002235	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
AB021383|S000001468	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
AB021387|S000008395	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Malikia
AB021388|S000011061	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
AB021390|S000015591	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter
AB021391|S000008025	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
AB021392|S000000936	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
AB021393|S000006492	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
AB021395|S000014863	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
AB021399|S000001859	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
AB021400|S000012967	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
AB021402|S000004193	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
AB021404|S000007629	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
AB021405|S000010261	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
AB021407|S000015214	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Incertae sedis 5;Pelomonas
AB021408|S000021893	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Incertae sedis 7;Marinobacterium
AB021412|S000011823	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
AB021417|S000010699	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Delftia
AB021421|S000009495	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax
AB021422|S000013308	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
AB021424|S000002236	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Herbaspirillum
AB021492|S000382574	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
AB021701|S000014865	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Mogibacterium
AB021702|S000021364	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Mogibacterium
AB022101|S000382581	Root;Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Borrelia
AB022141|S000382583	Root;Bacteria;Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Borrelia
AB022438|S000382597	Root;Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus
AB022871|S000469274	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Kitasatospora
AB022874|S000469277	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Kitasatospora
AB022875|S000469278	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Kitasatospora
AB022876|S000469279	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Kitasatospora
AB023308|S000382666	Root;Bacteria;Firmicutes;Clostridia;Halanaerobiales;Halanaerobiaceae;Halanaerobium
AB023356|S000004818	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Agromyces
AB023357|S000007411	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Agromyces
AB023359|S000008586	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Microbacteriaceae;Agromyces
AB023378|S000382667	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Psychromonadaceae;Psychromonas
AB023426|S000469283	Root;Archaea;Euryarchaeota;Halobacteria;Halobacteriales;Halobacteriaceae;Natrinema
AB023784|S000382694	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas
AB023836|S000000171	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
AB023838|S000006851	Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella
AB023970|S000006731	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium
AB023973|S000382698	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium
AB024310|S000469284	Root;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
AB024312|S000382713	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Corynebacterineae;Nocardiaceae;Nocardia
AB024440|S000015944	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces
AB024441|S000001861	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces
AB024701|S000382724	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micromonosporineae;Micromonosporaceae;Catenuloplanes
AB024932|S000382726	Root;Bacteria;Thermotogae;Thermotogae;Thermotogales;Thermotogaceae;Thermosipho
AB025317|S000022213	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Frankineae;Sporichthyaceae;Sporichthya
AB025318|S000382735	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Streptosporangiaceae;Acrocarpospora
AB025928|S000469285	Root;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Asaia
AB026268|S000021414	Root;Bacteria;Aquificae;Aquificae;Aquificales;Aquificaceae;Hydrogenobacter
AB027016|S000010700	Root;Bacteria;Thermotogae;Thermotogae;Thermotogales;Thermotogaceae;Thermotoga
AB027017|S000382805	Root;Bacteria;Thermotogae;Thermotogae;Thermotogales;Thermotogaceae;Thermotoga
AB028653|S000382842	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Streptosporangiaceae;Planomonospora
AB028654|S000382843	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Streptosporangiaceae;Planobispora
AB028655|S000382844	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptosporangineae;Streptosporangiaceae;Planomonospora
AB029087|S000382847	Root;Bacteria;Actinobacteria;Actinobacteria;Actinobacteridae;Bifidobacteriales;Bifidobacteriaceae;Scardovia
AB029339|S000382848	Root;Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum
AB030219|S000382866	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Coprobacillus
AB030224|S000022658	Root;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Catenibacterium
AB030583|S000010130	Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
